dataset,budget,model_idx,model_name,org,org_type,model_size_B,created_date,ci_width,median_width,ratio_to_median,direction
bbh+gpqa+ifeval+math+musr,0.175,250,zelk12__MT5-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-29 20:40:19+00:00,0.010710188,0.027136989,0.3946712,low
bbh+gpqa+ifeval+math+musr,0.175,539,hotmailuser__QwenStock-0.5B,hotmailuser,Community,0.5,2025-01-08 14:29:15+00:00,0.0096261455,0.027136989,0.35472417,low
bbh+gpqa+ifeval+math+musr,0.175,1620,qingy2024__Benchmaxx-Llama-3.2-1B-Instruct,qingy2024,Community,1.0,2025-02-24 19:32:22+00:00,0.047106132,0.027136989,1.7358644,high
bbh+gpqa+ifeval+math+musr,0.175,1743,Supichi__BBA-123,Supichi,Community,,2025-02-26 15:11:43+00:00,0.011432597,0.027136989,0.42129204,low
bbh+gpqa+ifeval+math+musr,0.175,1926,ontocord__wide_3b_sft_stage1.1-ss1-with_r1_generics_intr_math_stories.no_issue,ontocord,Community,,2025-03-03 12:56:38+00:00,0.009742949,0.027136989,0.35902837,low
bbh+gpqa+ifeval+math+musr,0.175,1988,necva__IE-cont-Llama3.1-8B,necva,Community,8.0,2025-03-06 07:54:32+00:00,0.009773633,0.027136989,0.3601591,low
bbh+gpqa+ifeval+math+musr,0.2,3,zelk12__MT4-Gen4-gemma-2-9B,zelk12,Community,9.0,2024-12-20 00:16:02+00:00,0.010743976,0.025083175,0.42833397,low
bbh+gpqa+ifeval+math+musr,0.2,16,INSAIT-Institute__BgGPT-Gemma-2-27B-IT-v1.0,INSAIT-Institute,Community,27.0,2024-12-20 05:57:01+00:00,0.0076689706,0.025083175,0.30574164,low
bbh+gpqa+ifeval+math+musr,0.2,134,zelk12__MT3-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-26 15:15:02+00:00,0.009718549,0.025083175,0.38745293,low
bbh+gpqa+ifeval+math+musr,0.2,188,zelk12__MT3-Gen5-gemma-2-9B_v1,zelk12,Community,,2024-12-28 00:24:10+00:00,0.009851865,0.025083175,0.39276785,low
bbh+gpqa+ifeval+math+musr,0.2,250,zelk12__MT5-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-29 20:40:19+00:00,0.009773571,0.025083175,0.3896465,low
bbh+gpqa+ifeval+math+musr,0.2,539,hotmailuser__QwenStock-0.5B,hotmailuser,Community,0.5,2025-01-08 14:29:15+00:00,0.0086485315,0.025083175,0.34479412,low
bbh+gpqa+ifeval+math+musr,0.2,1620,qingy2024__Benchmaxx-Llama-3.2-1B-Instruct,qingy2024,Community,1.0,2025-02-24 19:32:22+00:00,0.043647274,0.025083175,1.7401017,high
bbh+gpqa+ifeval+math+musr,0.2,1743,Supichi__BBA-123,Supichi,Community,,2025-02-26 15:11:43+00:00,0.010351774,0.025083175,0.41269794,low
bbh+gpqa+ifeval+math+musr,0.2,1926,ontocord__wide_3b_sft_stage1.1-ss1-with_r1_generics_intr_math_stories.no_issue,ontocord,Community,,2025-03-03 12:56:38+00:00,0.008721842,0.025083175,0.34771684,low
bbh+gpqa+ifeval+math+musr,0.2,1988,necva__IE-cont-Llama3.1-8B,necva,Community,8.0,2025-03-06 07:54:32+00:00,0.008735874,0.025083175,0.34827623,low
bbh+gpqa+ifeval+math+musr,0.225,3,zelk12__MT4-Gen4-gemma-2-9B,zelk12,Community,9.0,2024-12-20 00:16:02+00:00,0.009932261,0.023388239,0.42466906,low
bbh+gpqa+ifeval+math+musr,0.225,16,INSAIT-Institute__BgGPT-Gemma-2-27B-IT-v1.0,INSAIT-Institute,Community,27.0,2024-12-20 05:57:01+00:00,0.0069065755,0.023388239,0.29530123,low
bbh+gpqa+ifeval+math+musr,0.225,134,zelk12__MT3-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-26 15:15:02+00:00,0.008938544,0.023388239,0.38218117,low
bbh+gpqa+ifeval+math+musr,0.225,188,zelk12__MT3-Gen5-gemma-2-9B_v1,zelk12,Community,,2024-12-28 00:24:10+00:00,0.00905777,0.023388239,0.38727883,low
bbh+gpqa+ifeval+math+musr,0.225,250,zelk12__MT5-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-29 20:40:19+00:00,0.008990891,0.023388239,0.38441935,low
bbh+gpqa+ifeval+math+musr,0.225,539,hotmailuser__QwenStock-0.5B,hotmailuser,Community,0.5,2025-01-08 14:29:15+00:00,0.007885585,0.023388239,0.33716026,low
bbh+gpqa+ifeval+math+musr,0.225,1620,qingy2024__Benchmaxx-Llama-3.2-1B-Instruct,qingy2024,Community,1.0,2025-02-24 19:32:22+00:00,0.040777992,0.023388239,1.7435256,high
bbh+gpqa+ifeval+math+musr,0.225,1743,Supichi__BBA-123,Supichi,Community,,2025-02-26 15:11:43+00:00,0.009480505,0.023388239,0.40535355,low
bbh+gpqa+ifeval+math+musr,0.225,1926,ontocord__wide_3b_sft_stage1.1-ss1-with_r1_generics_intr_math_stories.no_issue,ontocord,Community,,2025-03-03 12:56:38+00:00,0.007919837,0.023388239,0.33862478,low
bbh+gpqa+ifeval+math+musr,0.225,1988,necva__IE-cont-Llama3.1-8B,necva,Community,8.0,2025-03-06 07:54:32+00:00,0.007912409,0.023388239,0.33830717,low
bbh+gpqa+ifeval+math+musr,0.25,3,zelk12__MT4-Gen4-gemma-2-9B,zelk12,Community,9.0,2024-12-20 00:16:02+00:00,0.009255721,0.021978937,0.42111778,low
bbh+gpqa+ifeval+math+musr,0.25,16,INSAIT-Institute__BgGPT-Gemma-2-27B-IT-v1.0,INSAIT-Institute,Community,27.0,2024-12-20 05:57:01+00:00,0.006302146,0.021978937,0.28673568,low
bbh+gpqa+ifeval+math+musr,0.25,134,zelk12__MT3-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-26 15:15:02+00:00,0.00833159,0.021978937,0.37907156,low
bbh+gpqa+ifeval+math+musr,0.25,188,zelk12__MT3-Gen5-gemma-2-9B_v1,zelk12,Community,,2024-12-28 00:24:10+00:00,0.008399379,0.021978937,0.38215587,low
bbh+gpqa+ifeval+math+musr,0.25,250,zelk12__MT5-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-29 20:40:19+00:00,0.008370381,0.021978937,0.38083646,low
bbh+gpqa+ifeval+math+musr,0.25,539,hotmailuser__QwenStock-0.5B,hotmailuser,Community,0.5,2025-01-08 14:29:15+00:00,0.0072412547,0.021978937,0.32946336,low
bbh+gpqa+ifeval+math+musr,0.25,1620,qingy2024__Benchmaxx-Llama-3.2-1B-Instruct,qingy2024,Community,1.0,2025-02-24 19:32:22+00:00,0.038405932,0.021978937,1.7473972,high
bbh+gpqa+ifeval+math+musr,0.25,1743,Supichi__BBA-123,Supichi,Community,,2025-02-26 15:11:43+00:00,0.008744592,0.021978937,0.39786237,low
bbh+gpqa+ifeval+math+musr,0.25,1926,ontocord__wide_3b_sft_stage1.1-ss1-with_r1_generics_intr_math_stories.no_issue,ontocord,Community,,2025-03-03 12:56:38+00:00,0.0072685997,0.021978937,0.33070752,low
bbh+gpqa+ifeval+math+musr,0.25,1988,necva__IE-cont-Llama3.1-8B,necva,Community,8.0,2025-03-06 07:54:32+00:00,0.00724822,0.021978937,0.32978028,low
